business_name,text,predicted_label,prediction_reason,description,category
Riverwalk Coffee,huh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
Skyline Fitness,not good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Comprehensive gym with state-of-the-art equipment.,"['Gym', 'Sports center']"
Lotus Garden,hmm,Irrelevant,The text is too short and does not provide meaningful business-related information.,Fine dining restaurant with an extensive wine list.,"['Restaurant', 'Fine dining']"
NextGen Electronics,zzz,Irrelevant,The text is too short and does not provide meaningful business-related information.,Electronics store specializing in computers and accessories.,"['Electronics store', 'Computer store']"
Pinewood Theater,sure,Irrelevant,The text is too short and does not provide meaningful business-related information.,Neighborhood theater showcasing indie films and classics.,"['Theater', 'Cinema']"
Starshine Salon,no,Irrelevant,The text is too short and does not provide meaningful business-related information.,Beauty salon providing hair styling and spa treatments.,"['Beauty salon', 'Spa']"
Sunset Diner,ok then,Irrelevant,The text is too short and does not provide meaningful business-related information.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,fine,Irrelevant,The text is too short and does not provide meaningful business-related information.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,random,Irrelevant,The text is too short and does not provide meaningful business-related information.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,zzz,Irrelevant,The text is too short and does not provide meaningful business-related information.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,huh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,random,Irrelevant,The text is too short and does not provide meaningful business-related information.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,ok then,Irrelevant,The text is too short and does not provide meaningful business-related information.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,yes,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,too bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,who cares,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,so bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,all good,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,so so,Irrelevant,The text is too short and does not provide meaningful business-related information.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,hmm,Irrelevant,The text is too short and does not provide meaningful business-related information.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
Riverwalk Coffee,ok,Irrelevant,The text is too short and does not provide meaningful business-related information.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
Skyline Fitness,next,Irrelevant,The text is too short and does not provide meaningful business-related information.,Comprehensive gym with state-of-the-art equipment.,"['Gym', 'Sports center']"
Lotus Garden,who cares,Irrelevant,The text is too short and does not provide meaningful business-related information.,Fine dining restaurant with an extensive wine list.,"['Restaurant', 'Fine dining']"
NextGen Electronics,sure,Irrelevant,The text is too short and does not provide meaningful business-related information.,Electronics store specializing in computers and accessories.,"['Electronics store', 'Computer store']"
Pinewood Theater,skip,Irrelevant,The text is too short and does not provide meaningful business-related information.,Neighborhood theater showcasing indie films and classics.,"['Theater', 'Cinema']"
Starshine Salon,all good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Beauty salon providing hair styling and spa treatments.,"['Beauty salon', 'Spa']"
Sunset Diner,huh,Irrelevant,The text is too short and does not provide meaningful business-related information.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,fine,Irrelevant,The text is too short and does not provide meaningful business-related information.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,yes,Irrelevant,The text is too short and does not provide meaningful business-related information.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,too bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,yes,Irrelevant,The text is too short and does not provide meaningful business-related information.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,huh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,random,Irrelevant,The text is too short and does not provide meaningful business-related information.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,meh,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,zzz,Irrelevant,The text is too short and does not provide meaningful business-related information.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,ok then,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,so so,Irrelevant,The text is too short and does not provide meaningful business-related information.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,zzz,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,idc,Irrelevant,The text is too short and does not provide meaningful business-related information.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,sure,Irrelevant,The text is too short and does not provide meaningful business-related information.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
Riverwalk Coffee,fine,Irrelevant,The text is too short and does not provide meaningful business-related information.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
Skyline Fitness,huh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Comprehensive gym with state-of-the-art equipment.,"['Gym', 'Sports center']"
Lotus Garden,skip,Irrelevant,The text is too short and does not provide meaningful business-related information.,Fine dining restaurant with an extensive wine list.,"['Restaurant', 'Fine dining']"
NextGen Electronics,so so,Irrelevant,The text is too short and does not provide meaningful business-related information.,Electronics store specializing in computers and accessories.,"['Electronics store', 'Computer store']"
Pinewood Theater,random,Irrelevant,The text is too short and does not provide meaningful business-related information.,Neighborhood theater showcasing indie films and classics.,"['Theater', 'Cinema']"
Starshine Salon,so bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Beauty salon providing hair styling and spa treatments.,"['Beauty salon', 'Spa']"
Sunset Diner,who cares,Irrelevant,The text is too short and does not provide meaningful business-related information.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,random,Irrelevant,The text is too short and does not provide meaningful business-related information.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,idc,Irrelevant,The text is too short and does not provide meaningful business-related information.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,huh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,no,Irrelevant,The text is too short and does not provide meaningful business-related information.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,nice,Irrelevant,The text is too short and does not provide meaningful business-related information.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,ok then,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,ugh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,all good,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,nah,Irrelevant,The text is too short and does not provide meaningful business-related information.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,huh,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,idk,Irrelevant,The text is too short and does not provide meaningful business-related information.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,none,Irrelevant,The text is too short and does not provide meaningful business-related information.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
Riverwalk Coffee,yes,Irrelevant,The text is too short and does not provide meaningful business-related information.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
Skyline Fitness,so so,Irrelevant,The text is too short and does not provide meaningful business-related information.,Comprehensive gym with state-of-the-art equipment.,"['Gym', 'Sports center']"
Lotus Garden,idk,Irrelevant,The text is too short and does not provide meaningful business-related information.,Fine dining restaurant with an extensive wine list.,"['Restaurant', 'Fine dining']"
NextGen Electronics,none,Irrelevant,The text is too short and does not provide meaningful business-related information.,Electronics store specializing in computers and accessories.,"['Electronics store', 'Computer store']"
Pinewood Theater,my bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Neighborhood theater showcasing indie films and classics.,"['Theater', 'Cinema']"
Starshine Salon,zzz,Irrelevant,The text is too short and does not provide meaningful business-related information.,Beauty salon providing hair styling and spa treatments.,"['Beauty salon', 'Spa']"
Sunset Diner,all good,Irrelevant,The text is too short and does not provide meaningful business-related information.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,why,Irrelevant,The text is too short and does not provide meaningful business-related information.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,nice,Irrelevant,The text is too short and does not provide meaningful business-related information.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,my bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,ok then,Irrelevant,The text is too short and does not provide meaningful business-related information.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,ok,Irrelevant,The text is too short and does not provide meaningful business-related information.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,wow,Irrelevant,The text is too short and does not provide meaningful business-related information.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,all good,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,nice,Irrelevant,The text is too short and does not provide meaningful business-related information.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,hmm,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,next,Irrelevant,The text is too short and does not provide meaningful business-related information.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,so so,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,idc,Irrelevant,The text is too short and does not provide meaningful business-related information.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,huh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
Riverwalk Coffee,no,Irrelevant,The text is too short and does not provide meaningful business-related information.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
Skyline Fitness,so bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Comprehensive gym with state-of-the-art equipment.,"['Gym', 'Sports center']"
Lotus Garden,wow,Irrelevant,The text is too short and does not provide meaningful business-related information.,Fine dining restaurant with an extensive wine list.,"['Restaurant', 'Fine dining']"
NextGen Electronics,all good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Electronics store specializing in computers and accessories.,"['Electronics store', 'Computer store']"
Pinewood Theater,not good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Neighborhood theater showcasing indie films and classics.,"['Theater', 'Cinema']"
Starshine Salon,too bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Beauty salon providing hair styling and spa treatments.,"['Beauty salon', 'Spa']"
Sunset Diner,bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,who cares,Irrelevant,The text is too short and does not provide meaningful business-related information.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,not good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,skip,Irrelevant,The text is too short and does not provide meaningful business-related information.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,fine,Irrelevant,The text is too short and does not provide meaningful business-related information.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,next,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,too bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,yes,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,zzz,Irrelevant,The text is too short and does not provide meaningful business-related information.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,why,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,huh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,fine,Irrelevant,The text is too short and does not provide meaningful business-related information.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
Riverwalk Coffee,not good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
Skyline Fitness,yes,Irrelevant,The text is too short and does not provide meaningful business-related information.,Comprehensive gym with state-of-the-art equipment.,"['Gym', 'Sports center']"
Lotus Garden,who cares,Irrelevant,The text is too short and does not provide meaningful business-related information.,Fine dining restaurant with an extensive wine list.,"['Restaurant', 'Fine dining']"
NextGen Electronics,not good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Electronics store specializing in computers and accessories.,"['Electronics store', 'Computer store']"
Pinewood Theater,not good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Neighborhood theater showcasing indie films and classics.,"['Theater', 'Cinema']"
Starshine Salon,all good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Beauty salon providing hair styling and spa treatments.,"['Beauty salon', 'Spa']"
Sunset Diner,ugh,Irrelevant,The text is too short and does not provide meaningful business-related information.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,random,Irrelevant,The text is too short and does not provide meaningful business-related information.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,oops,Irrelevant,The text is too short and does not provide meaningful business-related information.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,wow,Irrelevant,The text is too short and does not provide meaningful business-related information.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,ok then,Irrelevant,The text is too short and does not provide meaningful business-related information.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,too bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,so bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,idk,Irrelevant,The text is too short and does not provide meaningful business-related information.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,idc,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,not good,Irrelevant,The text is too short and does not provide meaningful business-related information.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,ok,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,idc,Irrelevant,The text is too short and does not provide meaningful business-related information.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,fine,Irrelevant,The text is too short and does not provide meaningful business-related information.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
Riverwalk Coffee,so so,Irrelevant,The text is too short and does not provide meaningful business-related information.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
Skyline Fitness,my bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Comprehensive gym with state-of-the-art equipment.,"['Gym', 'Sports center']"
Lotus Garden,ok then,Irrelevant,The text is too short and does not provide meaningful business-related information.,Fine dining restaurant with an extensive wine list.,"['Restaurant', 'Fine dining']"
NextGen Electronics,idk,Irrelevant,The text is too short and does not provide meaningful business-related information.,Electronics store specializing in computers and accessories.,"['Electronics store', 'Computer store']"
Pinewood Theater,bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Neighborhood theater showcasing indie films and classics.,"['Theater', 'Cinema']"
Starshine Salon,ok,Irrelevant,The text is too short and does not provide meaningful business-related information.,Beauty salon providing hair styling and spa treatments.,"['Beauty salon', 'Spa']"
Sunset Diner,who cares,Irrelevant,The text is too short and does not provide meaningful business-related information.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,good,Irrelevant,The text is too short and does not provide meaningful business-related information.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,meh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,so bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,ugh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,idc,Irrelevant,The text is too short and does not provide meaningful business-related information.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,who cares,Irrelevant,The text is too short and does not provide meaningful business-related information.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,random,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,ok then,Irrelevant,The text is too short and does not provide meaningful business-related information.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,so so,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,too bad,Irrelevant,The text is too short and does not provide meaningful business-related information.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,oops,Irrelevant,The text is too short and does not provide meaningful business-related information.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,ok,Irrelevant,The text is too short and does not provide meaningful business-related information.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,wow,Irrelevant,The text is too short and does not provide meaningful business-related information.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
Riverwalk Coffee,meh,Irrelevant,The text is too short and does not provide meaningful business-related information.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
