business_name,text,predicted_label,prediction_reason,index,rating,error,name,description,category
Coffee & Bagels,Love to stop,Valid,"The review expresses a positive sentiment about visiting the coffee shop, which is relevant to the business. The 4-star rating aligns with the positive text 'Love to stop', indicating a genuine experience at this coffee establishment.",,,,Coffee & Bagels,"Eco-conscious coffee chain offering java drinks, smoothies & teas alongside light fare & pastries.","['Coffee shop', 'Breakfast restaurant', 'Cafe']"
AmericInn by Wyndham Bismarck,Fine,Irrelevant,"The review text 'Fine' is extremely short and vague, providing no specific information about the hotel experience, amenities, or service that would be relevant to future guests seeking meaningful feedback about this hotel.",,,,AmericInn by Wyndham Bismarck,"Relaxed rooms & suites in a laid-back hotel with an indoor pool & a gym, plus free hot breakfast.","['Hotel', 'Lodge']"
Scheels Home & Hardware,The salesman was knowledgeable about my question and directed me.,Valid,"The review describes a genuine customer service experience at a hardware/home improvement store. The reviewer mentions interacting with a knowledgeable salesman who helped with their question, which is directly relevant to the business's retail operations. The 5-star rating aligns with the positive feedback about staff knowledge and service.",,,,Scheels Home & Hardware,"Chain with apparel, shoes & gear for sports & outdoor recreation, plus merchandise with team logos.","['Home improvement store', 'Coffee shop', 'Furniture store', 'Grill store', 'Hardware store', 'Lawn mower store', 'Outdoor furniture store', 'Paint store', 'Small engine repair service', ""Women's clothing store""]"
Walmart Supercenter,Managers are terrible! I've gotten nothing but disrespect from them. Ive even called to speak to them and been hung up on.,Valid,"The review describes a genuine negative experience with the store's management, including specific details about being hung up on during phone calls. The 2-star rating is consistent with the described poor customer service experience.",,,,Walmart Supercenter,,"['Department store', 'Clothing store', 'Craft store', 'Electronics store', 'Furniture store', 'Grocery store', 'Hardware store', 'Home goods store', 'Sporting goods store', 'Toy store']"
ARC Parks & Recreation,Wonderfully clean,Valid,"The review provides a genuine assessment of the gym's cleanliness, which is directly relevant to the business category and user experience. The 4-star rating is consistent with the positive comment.",,,,ARC Parks & Recreation,,['Gym']
Village Inn,"Food is generally pretty good. The pies are tasty as well. However, have waited for a bit longer than I would expect from a similar restaurant.",Valid,"The review provides a genuine dining experience at Village Inn, discussing the food quality, pies, and service timing. The content is directly relevant to the restaurant's offerings and the 4-star rating aligns with the mixed but generally positive feedback.",,,,Village Inn,Family-friendly chain serving homestyle American classics such as chicken-fried steak & pot pie.,['Restaurant']
Lighthouse Church,Faith Based Celebrate Recovery group,Valid,The review mentions 'Celebrate Recovery group' which is a faith-based program commonly offered by churches. This is directly relevant to the church category and describes a specific service/program available at this location.,,,,Lighthouse Church,,['Church']
Pets R Inn,"Small little pet store in the the mall specializing in overpriced mixed puppies. It has an ample supply of toys and knick knacks as well.
Other pets include rabbits, guinea pigs, cats. It's located on the south east wing - The Roger Maris wing of the mall.",Valid,"The review provides a genuine assessment of the pet store, describing the products (puppies, toys, other pets), pricing observation, and specific location details within the mall. The content is directly relevant to the business category and name, and the 3-star rating aligns with the mixed positive and negative observations.",,,,Pets R Inn,,"['Pet supply store', 'Pet store']"
Veterans Memorial Arena - Rink 1,Great clean facility.,Valid,"The review provides a genuine, positive assessment of the arena facility, mentioning it's 'great' and 'clean', which is directly relevant to the venue. The 5-star rating is consistent with the positive feedback.",,,,Veterans Memorial Arena - Rink 1,,['Arena']
Eggerts Landing Lk Ashtabula,"Best camp ground I've stayed at, very clean, lots of privacy between campers, nice beach and playground",Valid,"The review provides a genuine experience about staying at the campground, describing specific amenities like cleanliness, privacy, beach, and playground. The 5-star rating is consistent with the positive feedback about the campground facilities.",,,,Eggerts Landing Lk Ashtabula,,"['Campground', 'Resort hotel']"
Sam's Club,Good deals,Valid,The review 'Good deals' is relevant to Sam's Club as a warehouse club known for bulk purchasing and competitive pricing. The 3-star rating and brief positive comment about deals aligns with the business's value proposition.,,,,Sam's Club,"Membership-only warehouse chain selling a variety of bulk grocery items, electronics & home goods.","['Warehouse club', 'Electronics store', 'Liquor store', 'Produce wholesaler', 'Wholesale grocer']"
Pizza Ranch,Undercooked pizza dough and not enough pizza variety available to choose from.,Valid,"The review provides specific feedback about the pizza quality (undercooked dough) and buffet variety, which directly relates to Pizza Ranch's buffet restaurant service. The 2-star rating is consistent with the negative experience described.",,,,Pizza Ranch,"Buffet chain offering pizza, fried chicken & classic American sides in an Old West-themed setting.","['Buffet restaurant', 'Chicken restaurant', 'Delivery Restaurant', 'Pizza delivery', 'Pizza restaurant', 'Pizza Takeout', 'Restaurant']"
Arby's,"Always good. Had my usual, the double roast beef.",Valid,"The review describes a genuine dining experience at Arby's, mentioning a specific menu item (double roast beef) that aligns with the business description of being known for roast beef. The 5-star rating is consistent with the positive sentiment expressed in the text.",,,,Arby's,"Fast-food chain, known for its roast beef, serving up hot & cold sandwiches, fries & shakes.","['Fast food restaurant', 'American restaurant', 'Deli', 'Takeout restaurant', 'Sandwich shop']"
Babb's Coffee House,Cozy. Great atmosphere. Comfy seating along with few tables. Good food & Great drinks. Love to meet friends there.,Valid,"The review describes a genuine experience at the coffee house, mentioning relevant aspects like atmosphere, seating, food, and drinks. The positive content is consistent with the 5-star rating and directly relates to what one would expect from a coffee shop.",,,,Babb's Coffee House,,"['Cafe', 'American restaurant', 'Breakfast restaurant', 'Coffee shop', 'Espresso bar', 'Gluten-free restaurant', 'Lunch restaurant', 'Salad shop', 'Sandwich shop', 'Soup shop']"
Stonehome Brewing Company,Great food and awesome atmosphere!!,Valid,"The review provides a genuine positive experience about the food and atmosphere at a brewpub/restaurant, with a 5-star rating that matches the positive sentiment expressed.",,,,Stonehome Brewing Company,,"['Restaurant', 'Brewery']"
Bluestem Center for the Arts,Great place to watch concerts.  I wish they had more there.,Valid,"The review describes a genuine experience at the arts center, mentioning watching concerts which is relevant to an event venue. The 5-star rating is consistent with the positive feedback, and the constructive suggestion shows authentic engagement with the location.",,,,Bluestem Center for the Arts,,['Event venue']
Marcus West Acres Cinema,Music  was very loud Movie was great. Popcorn is really  good.  A star is born.,Valid,"The review describes a genuine movie theater experience, mentioning specific aspects like music volume, movie quality, and popcorn. The 4-star rating is consistent with the mostly positive feedback, and all content is directly relevant to the movie theater.",,,,Marcus West Acres Cinema,Theater chain for mainstream films; most offer enhanced picture & sound & expanded dining options.,['Movie theater']
Papa Murphy's | Take 'N' Bake Pizza,Friendly staff never a long wait even when super busy only 1 I have been to where if they are out of the kids take and make pizzas they will make 1 or 2 for you.,Valid,"The review describes a genuine experience at Papa Murphy's, mentioning specific details about friendly staff, wait times, and the availability of kids' take-and-bake pizzas. The content is directly relevant to the pizza restaurant and the 5-star rating is consistent with the positive experience described.",,,,Papa Murphy's | Take 'N' Bake Pizza,"Chain outlet offering build-your-own takeaway pizzas, to be cooked at home.","['Pizza restaurant', 'Family restaurant', 'Italian restaurant', 'Takeout Restaurant', 'Vegetarian restaurant']"
Pita Palace,Great service and food!!,Valid,"The review describes a genuine dining experience at the restaurant, praising both service and food quality. The 5-star rating is consistent with the positive text, and the content is directly relevant to the restaurant's offerings.",,,,Pita Palace,"Counter-serve eatery offering a variety of pita sandwiches, hoagies & sides in a casual space.",['Restaurant']
Rheault Farm,Great family experience!!,Valid,"The review describes a positive family experience at an event venue, which is relevant to the business category. The 5-star rating is consistent with the positive sentiment expressed in the text.",,,,Rheault Farm,,['Event venue']
Denny's,Just okay,Valid,"The review provides a genuine assessment of the dining experience at Denny's with 'Just okay' and a 3-star rating, which is consistent and relevant to the restaurant business.",,,,Denny's,"Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.","['Diner', 'American restaurant', 'Breakfast restaurant']"
Cajun Cafe,Food is good but the price is.high,Valid,"The review provides a genuine assessment of the restaurant experience, commenting on both food quality and pricing, which are directly relevant to dining at this Cajun restaurant. The 4-star rating is consistent with the mixed feedback (good food but high prices).",,,,Cajun Cafe,"Snug, laid-back eatery dishing up classic Cajun grub such as red beans & rice in unpretentious digs.","['Cajun restaurant', 'Family restaurant', 'Restaurant']"
Mears Auto Parts,"Great service, one of my preferred part stores to shop, strongly recommend it😊😊",Valid,"The review describes a genuine shopping experience at an auto parts store, praising the service and recommending it to others. The 5-star rating is consistent with the positive feedback about the business.",,,,Mears Auto Parts,,['Auto parts store']
Enterprise Rent-A-Car,"I would never recommend renting a car from here, especially on a weekend before they close. The lady who helped us was extremely rude and falsely charged us for every single protection she could. She basically overcharged us 50 dollars. If we didn't need to rent a vehicle today we would have told her to forget it and would have walked right out. If your gonna have employees, make sure they can at least fake being nice and be honest and what you are charging. 100% fail on their part.",Valid,"The review describes a genuine rental experience at Enterprise Rent-A-Car, detailing specific issues with customer service, overcharging, and employee behavior. The 1-star rating is consistent with the negative experience described, and the content is directly relevant to the car rental service.",,,,Enterprise Rent-A-Car,,"['Car rental agency', 'Van rental agency']"
Wendy's,They are really slow food is good but my wait time was 15 minutes at the drive thru I was the only car in line no one in lobby,Valid,"The review describes a genuine dining experience at Wendy's, mentioning specific details about wait time, drive-thru service, and food quality. The 2-star rating is consistent with the mixed feedback (good food but slow service), and the content is directly relevant to the fast-food restaurant.",,,,Wendy's,"Fast-food burger chain known for its shakes, as well as sides such as chili & baked potatoes.","['Fast food restaurant', 'Hamburger restaurant', 'Restaurant']"
Arrowhead Ace Hardware,Always very helpful. I have been to this location many times and they are always very helpful and ask if I need help finding anything.,Valid,"The review describes a genuine experience at the hardware store, mentioning multiple visits and specific positive interactions with staff. The 5-star rating is consistent with the positive feedback about helpfulness, and the content is directly relevant to the business category and services.",,,,Arrowhead Ace Hardware,"Chain retailer stocking household tools, supplies & more (many family-run or independently owned).","['Hardware store', 'Home improvement store', 'Paint store', 'Tool store']"
Golden China Buffet,"During peak hours the food was hot and consistent with restaurants using largely pre-cooked commercial food service products, which in this case was Sysco and which you have likely ate before.

During less than peak hours, some less popular items sit out for a while and can be cold or stale.",Valid,"The review provides a genuine and detailed assessment of the dining experience at Golden China Buffet, discussing food quality during different times and mentioning specific details about food service products. The content is directly relevant to the Chinese restaurant and reflects actual visits to the location.",,,,Golden China Buffet,,['Chinese restaurant']
Village Inn,Food great but service a bit slow,Valid,"The review provides a genuine experience about the restaurant, commenting on both food quality and service speed, which are relevant aspects of dining at Village Inn.",,,,Village Inn,Family-friendly chain serving homestyle American classics such as chicken-fried steak & pot pie.,['Restaurant']
Fargo Tire Services Inc,"Get all my vehicle tires serviced here. Good prices, great service, no worries.",Valid,"The review describes a genuine experience with tire servicing at the location, mentioning specific aspects like prices and service quality. The 5-star rating is consistent with the positive feedback, and the content directly relates to the tire shop's services.",,,,Fargo Tire Services Inc,,"['Tire shop', 'Oil change service', 'Wheel alignment service']"
Dairy Queen Grill & Chill,Clean and the service was great!,Valid,"The review describes a genuine experience at the location, commenting on cleanliness and service quality which are relevant aspects of a fast-food restaurant. The 5-star rating is consistent with the positive feedback.",,,,Dairy Queen Grill & Chill,Soft-serve ice cream & signature shakes top the menu at this classic burger & fries fast-food chain.,"['Fast food restaurant', 'Ice cream shop']"
Walmart Supercenter,The,Irrelevant,"The review text is extremely short (only one word: 'The') and provides no meaningful content related to Walmart Supercenter's services, products, or customer experience. Despite the 1-star rating, the text fails to describe any actual experience with the department store or its various categories of merchandise.",,,,Walmart Supercenter,,"['Department store', 'Clothing store', 'Craft store', 'Electronics store', 'Furniture store', 'Grocery store', 'Hardware store', 'Home goods store', 'Sporting goods store', 'Toy store']"
Red Lobster,Very good food. A bit pricey but the portions are pretty generous.,Valid,"The review describes a genuine dining experience at Red Lobster, commenting on food quality, pricing, and portion sizes, which are all relevant to a seafood restaurant. The 5-star rating is consistent with the positive assessment of the food.",,,,Red Lobster,Lively chain restaurant serving American seafood standards amid New England-themed decor.,"['Seafood restaurant', 'American restaurant', 'Angler fish restaurant', 'Bar', 'Crab house', 'Event venue', 'Family restaurant']"
Ye Olde Malt Shoppe,Best milkshakes in North Dakota. Nice place,Valid,"The review describes a genuine experience with milkshakes at an ice cream shop/American restaurant, and the 5-star rating is consistent with the positive feedback about the product and atmosphere.",,,,Ye Olde Malt Shoppe,,"['American restaurant', 'Ice cream shop']"
HoDo Restaurant & Lounge,Fun atmosphere!,Valid,"The review provides a genuine assessment of the restaurant's atmosphere, which is directly relevant to the dining experience. The 5-star rating is consistent with the positive comment about the 'fun atmosphere,' and this aligns well with the business being described as a modern, upmarket restaurant and bar venue.",,,,HoDo Restaurant & Lounge,"Modern, upmarket venue in the Hotel Donaldson featuring artisanal libations & New American plates.","['American restaurant', 'Bar']"
Huff Hills Ski Area,Great place for the beginner skier!!!! Not so much for someone who has experience. Was nice and staff were excellent.,Valid,"The review provides a genuine assessment of the ski area, describing the experience level it's suitable for (beginners vs. experienced skiers) and commenting on the staff quality. The content is directly relevant to a recreation center/ski area and reflects an actual visit.",,,,Huff Hills Ski Area,,['Recreation center']
Shady's Restaurant & Lounge,Service Is Terrible! The Barmaid does NOT know how to mix a drink. Very BAD Experience. I do not recommend this establishment.,Valid,"The review describes a genuine negative experience at the restaurant/bar, mentioning specific issues with service and drink preparation that are directly relevant to the business category (Bar & grill, Bar). The 1-star rating is consistent with the strongly negative experience described.",,,,Shady's Restaurant & Lounge,,"['Bar & grill', 'Bar', 'Conference center']"
Wurst Bier Hall,Love this place more and more every time.,Valid,"The review expresses genuine positive sentiment about repeated visits to the location, and the 5-star rating is consistent with the positive text about loving the place more each time.",,,,Wurst Bier Hall,,"['German restaurant', 'Beer hall']"
Paradiso Mexican Restaurant Grand Forks,Love it!,Valid,"The review expresses genuine positive sentiment about the restaurant with a 5-star rating that matches the enthusiastic text. While brief, 'Love it!' is clearly relevant to the Mexican restaurant and reflects a positive dining experience.",,,,Paradiso Mexican Restaurant Grand Forks,"Local chain serving Mexican faves, including flame-grilled fare, in a casual, traditional space.",['Mexican restaurant']
Northside Cafe,Great home cooking.  Freindly staff,Valid,"The review describes a genuine dining experience at the cafe, mentioning both the food quality ('Great home cooking') and service ('Friendly staff'). The 5-star rating is consistent with the positive feedback, and the content is directly relevant to an American restaurant/cafe.",,,,Northside Cafe,,"['American restaurant', 'Cafe']"
Arby's,Good food,Valid,"The review provides a genuine positive assessment of the food quality at Arby's, which is directly relevant to this fast-food restaurant. The 5-star rating is consistent with the positive comment 'Good food'.",,,,Arby's,"Fast-food chain, known for its roast beef, serving up hot & cold sandwiches, fries & shakes.","['Fast food restaurant', 'American restaurant', 'Deli', 'Takeout restaurant', 'Sandwich shop']"
"Black Gold Suites, Stanley",Awesome rooms with plenty of space. The beds were very comfy and clean!,Valid,"The review describes a genuine experience staying at the hotel, with specific details about rooms, space, beds, comfort, and cleanliness. The 4-star rating is consistent with the positive feedback about the accommodation.",,,,"Black Gold Suites, Stanley",,"['Extended stay hotel', 'Hotel', 'Indoor lodging', 'Motel']"
Natural Grocers,"Excellent place for groceries. They offer classes, too",Valid,"The review describes a genuine experience at Natural Grocers, mentioning both groceries and classes which are relevant to this organic grocery store. The 5-star rating is consistent with the positive text.",,,,Natural Grocers,"Retail chain focused on natural & organic groceries, supplements, household products & more.","['Grocery store', 'Greengrocer', 'Health food store', 'Natural goods store', 'Organic food store', 'Organic shop', 'Produce market', 'Vitamin & supplements store']"
Taco John's,Best jaco johns that i had in 10 years of living in ND. The naco cheese is actually hot ( temperature wise) and the food is made to fresh. Nice warm and delicious.  The sad part is they may only have two workers working at a time but theu do there greatest to provide actual delicious food in a tinely matter. I left two taco johns to come to this one because the other taco johns in Bismarck took for ever but this taco johns was well worth the wait and honestly faster than the other two taco johns. I advise everyone to come to this one and just wait 10 mins or less because it is well worth your wait.,Valid,"The review describes a genuine dining experience at Taco John's, discussing specific food items (tacos, nacho cheese), service quality, wait times, and comparing it to other locations. The 5-star rating aligns with the positive experience described, and the content is directly relevant to the fast-food restaurant.",,,,Taco John's,"Fast-food chain featuring tacos, burritos, nachos & breakfasts mixing Mexican & Western flavors.","['Fast food restaurant', 'Breakfast restaurant', 'Diner', 'Mexican restaurant', 'Restaurant', 'Southwestern restaurant (US)', 'Tex-Mex restaurant']"
Kiwanis Park,Nice and peaceful,Valid,The review describes a genuine experience at the park with relevant descriptors ('nice and peaceful') that appropriately relate to the park category and location. The 5-star rating is consistent with the positive sentiment.,,,,Kiwanis Park,,['City park']
Buffalo Wild Wings,LOVE IT!!,Valid,"The review expresses genuine positive sentiment about Buffalo Wild Wings with a 5-star rating. While brief, the enthusiastic tone ('LOVE IT!!') is relevant to the restaurant experience and consistent with the high rating.",,,,Buffalo Wild Wings,Lively sports-bar chain dishing up wings & other American pub grub amid lots of large-screen TVs.,"['Chicken wings restaurant', 'American restaurant', 'Bar & grill', 'Takeout Restaurant', 'Restaurant', 'Sports bar']"
"Motel 6 Bismarck, ND",My wife flight got cancelled for the next day so we decided to stay in Bismark for the night . We called couples of motels one of which was Motel 6 so we decided to give it a try since the price was so cheap for only 1 night. But I changed my mind when we arrived on spot and  before checking in because the place was terrible and not worth the 10  dollars less in rate difference of another acceptable motel in the same area. I had before checked in Motel 6 room in different areas and locations in the US when I drive on the road but this particular one was so different and less appealing with it's overall ambiance.,Valid,"The review describes a genuine experience with the motel, including the circumstances of their visit (cancelled flight), the decision-making process, and specific observations about the property's condition and ambiance. The 2-star rating is consistent with the negative assessment of the location.",,,,"Motel 6 Bismarck, ND","Straightforward budget property offering modern rooms & an outdoor pool, plus free morning coffee.","['Motel', 'Hotel']"
Taco Bell,"The wait time is long, sometimes they run out of essential stuff.",Valid,"The review describes a genuine experience at Taco Bell, mentioning specific issues like wait time and inventory problems that are relevant to the fast-food restaurant. The 2-star rating is consistent with the negative feedback provided.",,,,Taco Bell,"Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.","['Fast food restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Lunch restaurant', 'Takeout Restaurant', 'Mexican restaurant', 'Restaurant', 'Taco restaurant', 'Tex-Mex restaurant', 'Vegetarian restaurant']"
Tru Blu Social Club,Mussels are out of this world good as is all the food.Service was also excellent!,Valid,"The review describes a genuine dining experience at the restaurant, specifically mentioning mussels and food quality which aligns with the seafood restaurant category. The praise for service is relevant to the dining establishment, and the 5-star rating is consistent with the positive feedback.",,,,Tru Blu Social Club,"Casual, unfussy eatery & bar offering American steaks, seafood, pasta, sandwiches & beers.","['Family restaurant', 'Banquet hall', 'Bar', 'Bar & grill', 'Breakfast restaurant', 'Caterer', 'Cocktail bar', 'Fine dining restaurant', 'Seafood restaurant', 'Steak house']"
Young Blood Coffee,Some of the best coffee ever! Very friendly and fun servers. Perfect experience!,Valid,"The review describes a genuine coffee shop experience with specific details about the coffee quality and staff friendliness, which directly relates to the business category of 'Coffee shop, Coffee roasters'. The 5-star rating is consistent with the positive text.",,,,Young Blood Coffee,,"['Coffee shop', 'Coffee roasters']"
Gideon's Trumpet,Great store with a wide selection and kind staff. Our first visit we talked to the owner for a good while and we've had a great experience every time we've gone!,Valid,"The review describes genuine experiences visiting the bookstore, mentioning specific details like talking to the owner, the store's selection, and staff kindness. The 5-star rating is consistent with the positive feedback about multiple visits.",,,,Gideon's Trumpet,,"['Book store', 'Christian book store', 'Engraver', 'Music store']"
