business_name,text,predicted_label,prediction_reason,name,description,category
Family Video,They're decent on prices but their poor selection of classic films leaves something to be desired.,Valid,"The review provides a genuine assessment of the video rental store, discussing both pricing and film selection which are directly relevant to the business category and description. The 3-star rating aligns with the mixed feedback (decent prices but poor classic film selection).",Family Video,"Chain outpost for a wide array of new & used DVDs, Blu-ray discs & video games for sale or rental.","['Movie rental store', 'Video game rental store', 'Vitamin & supplements store']"
Tractor Supply Co.,Fast check outs,Valid,"The review describes a genuine experience about the checkout process at the store, which is relevant to the business operations. The 5-star rating is consistent with the positive feedback about fast service.",Tractor Supply Co.,"Chain with a wide variety of agricultural & livestock supplies, plus tools, workwear & boots.","['Hardware store', 'Garden center', 'Pet supply store', 'Propane supplier']"
ILLINI CONVENIENCE,"Great stop for anything and everything you need! Honest, fast, and kind service here!

Have been going here for 20+ years!",Valid,"The review describes a genuine customer experience at the convenience store, mentioning service quality and long-term patronage (20+ years). The 5-star rating is consistent with the positive feedback about honest, fast, and kind service.",ILLINI CONVENIENCE,,['Liquor store']
McDonald's,"The Mocha Frapee and Carmel ice coffee was good...but liquid was running down cup, of ice coffee making it messy and slippery...I had to ask for napkins",Valid,"The review describes a genuine experience at McDonald's, mentioning specific menu items (Mocha Frappe and Caramel iced coffee) that are relevant to the business categories including 'Coffee shop'. The reviewer provides constructive feedback about product quality and service experience, which is appropriate for a restaurant review.",McDonald's,"Classic, long-running fast-food chain known for its burgers, fries & shakes.",['Fast food restaurant']
Salon Xpression,"They are so clean, friendly people,A Must try",Valid,"The review describes a genuine experience at the nail salon, praising cleanliness and friendliness of staff, which are relevant aspects for a salon service. The 5-star rating is consistent with the positive feedback.",Salon Xpression,,['Nail salon']
Bartlett Aquatic Center,Love it here!,Valid,"The review expresses a genuine positive experience at the aquatic center with a 5-star rating that matches the enthusiastic sentiment, and the content is relevant to the water park location.",Bartlett Aquatic Center,"Summertime water park with lots of amenities, including a lap pool, lazy river & spray playground.",['Water park']
American Security Services Inc,Seems  to be a very upcoming  security  agency.,Valid,"The review describes a genuine opinion about the security agency, mentioning it as 'upcoming' which is relevant to the business category of security services. The 4-star rating is consistent with the positive assessment.",American Security Services Inc,,"['Security guard service', 'Fingerprinting service']"
The Soul Shack,"Food was good service not good order drinks they did not come before the meal or during the meal cancel them
Ordered cornbread it was served after the meal cancelled it
Who was not good enough for me to go back for bad service",Valid,"The review describes a genuine dining experience at The Soul Shack restaurant, detailing specific issues with service timing (drinks and cornbread served at wrong times) and expressing dissatisfaction with the service quality. The 3-star rating is consistent with mixed feedback (good food but poor service), and the content is directly relevant to the restaurant's dining experience.",The Soul Shack,"No-frills joint cooking up hearty Southern soul food in a casual, compact setting with takeout.",['Restaurant']
Pershing Road Express $3 Car Wash,OK THEY DON'T CLEAN TO WELL ESPECIALLY YOUR TIRES.,Valid,"The review provides a genuine experience about the car wash service quality, specifically mentioning issues with tire cleaning, which is directly relevant to the car wash business category and service.",Pershing Road Express $3 Car Wash,,['Car wash']
Barcocina,Wait service was rather inattentive and cost for a few shared plates was quite high for run-of-the mill Mexican fare,Valid,"The review describes a genuine dining experience at the Mexican restaurant, commenting on service quality, pricing, and food quality. The 3-star rating is consistent with the mixed feedback about inattentive service and high costs, while the content directly relates to the restaurant's Mexican fare and service.",Barcocina,"Modern takes on classic Mexican fare plus tequila, margaritas & sangria in rustic-industrial digs.","['Restaurant', 'Brunch restaurant', 'Cocktail bar', 'Event venue', 'Mexican restaurant']"
Jim & Steve's Sportscards,My son and I are first time collectors. Steve is awesome and knows his stuff. Very welcoming and has great prices!,Valid,"The review describes a genuine experience at the sports card store, mentioning specific staff (Steve), the service quality, and pricing. The 5-star rating is consistent with the positive feedback about the collecting experience.",Jim & Steve's Sportscards,,['Sports card store']
QDOBA Mexican Eats,"Great food, fresh, great variety, and great service. Also, feedback given in surveys is taken in by corporate and they make adjustments based on that. I made a suggestion and the next time I was there they'd followed what I'd suggested.",Valid,"The review describes a genuine dining experience at QDOBA Mexican Eats, praising the food quality, variety, and service. The reviewer also shares a specific positive interaction with corporate feedback implementation. The 5-star rating is consistent with the positive content, and the review is directly relevant to the Mexican restaurant.",QDOBA Mexican Eats,"Mexican chain for counter-serve, custom burritos, tacos & more, including health-oriented options.","['Mexican restaurant', 'Bar & grill', 'Brunch restaurant', 'Caterer', 'Delivery service', 'Fast food restaurant', 'Restaurant', 'Tex-Mex restaurant']"
P.F. Chang's,Good food,Valid,"The review provides a genuine assessment of the food quality at P.F. Chang's, and the 4-star rating is consistent with the positive 'Good food' comment. Despite being brief, the review is directly relevant to the restaurant's core offering.",P.F. Chang's,Family-friendly chain offering creative takes on Asian fare in a striking space.,"['Chinese restaurant', 'Asian restaurant', 'Delivery Chinese restaurant', 'Dim sum restaurant', 'Takeout Restaurant', 'Sushi restaurant']"
Blackberry Market,Chicken avocado sandwich was great,Valid,"The review describes a genuine food experience at the location, mentioning a specific menu item (chicken avocado sandwich) that aligns with the business being a cafe/restaurant offering quick meals. The 5-star rating is consistent with the positive feedback.",Blackberry Market,"Cafe/market with a healthy slant & limited seating offering take-out coffee, sweets & quick meals.","['Cafe', 'Bakery', 'Breakfast restaurant', 'Caterer', 'Coffee shop', 'Lunch restaurant', 'Takeout Restaurant', 'Restaurant']"
Giordano's,"Excellent service.  Food is on point, friendly staff, and refills are quick. They have a dedicated employee just for cleaning up and making sure your drink is never empty.",Valid,"The review describes a genuine dining experience at Giordano's, mentioning specific aspects like service quality, food, staff friendliness, and drink refills. The 5-star rating is consistent with the positive feedback, and the content is directly relevant to the restaurant's service and operations.",Giordano's,"Known for deep-dish pizza, this casual chain serves other classic Italian food, plus beer & wine.","['Pizza delivery', 'Delivery service', 'Takeout Restaurant', 'Pizza restaurant']"
Allstate Arena,Great seats!,Valid,"The review provides a genuine comment about the seating experience at the arena, which is directly relevant to the venue. The 4-star rating is consistent with the positive feedback about the seats.",Allstate Arena,Huge multipurpose arena hosting college & professional basketball games plus concerts & circuses.,['Arena']
Hardee's,Chicken tenders we're great!,Valid,"The review describes a genuine dining experience at Hardee's, mentioning chicken tenders which aligns with the fast-food restaurant's menu offerings. The 5-star rating is consistent with the positive feedback about the food quality.",Hardee's,"Fast-food chain serving fried chicken, big burgers & made-from-scratch breakfast biscuits.","['Fast food restaurant', 'Hamburger restaurant', 'Restaurant']"
Flatlander Market,Great sandwiches and treats!,Valid,"The review describes a genuine experience with the food offerings (sandwiches and treats) at this sandwich/coffee shop, and the 5-star rating is consistent with the positive feedback.",Flatlander Market,,"['Sandwich shop', 'Catering food and drink supplier', 'Coffee shop', 'Cookie shop', 'Espresso bar']"
Green Oak Shopping Center,It's not that bad is okay I guess.,Valid,"The review provides a genuine, albeit brief, opinion about the shopping center with a neutral 3-star rating that matches the lukewarm sentiment expressed in the text.",Green Oak Shopping Center,,['Shopping mall']
Flavor of India,Great buffet.,Valid,"The review is short but directly relevant to the restaurant - 'Great buffet' matches the business description mentioning buffets, and the 5-star rating is consistent with the positive feedback.",Flavor of India,Regional Indian cuisine is available at this simple restaurant offering buffets & special thalis.,['Indian restaurant']
Choong Man Chicken Aurora (충만치킨),Oh boy! Get your water before you try your spicy chicken.  It's spicy and soooo good.  Probably the best chicken I've had.  Korean chicken is hands down the best chicken.  I can't even compare it to any other chicken because nothing comes close. I think once you try it you'll be hooked.  I'm so happy to see this restaurant in Aurora because I used to drive far for this chicken.,Valid,"The review describes a genuine dining experience at a Korean chicken restaurant, with specific details about the spicy chicken quality, taste comparison, and personal satisfaction. The 5-star rating is consistent with the highly positive feedback about the food and the reviewer's happiness about the restaurant's location.",Choong Man Chicken Aurora (충만치킨),,"['Korean restaurant', 'Fried chicken takeaway', 'Restaurant']"
Whole Foods Market,Awesome staff,Valid,"The review provides a genuine positive experience about the staff at Whole Foods Market, and the 5-star rating is consistent with the positive comment about the service.",Whole Foods Market,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).","['Grocery store', 'Health food store', 'Natural goods store', 'Supermarket']"
El Gallo Tapatio II,"Great food, large portions, friendly staff, clean, quick, and open during late night.  Just remember cash only great place.",Valid,"The review describes a genuine dining experience at the Mexican restaurant, mentioning specific aspects like food quality, portion size, staff friendliness, cleanliness, speed of service, and late-night hours. The payment method note (cash only) is helpful information for other customers. The 5-star rating aligns with the positive experience described.",El Gallo Tapatio II,Traditional Mexican eats in a straightforward setting with late-night hours.,['Mexican restaurant']
Woodman's Food Market,huge,Valid,"The review text 'huge' is relevant to a grocery store, as size is a common and important characteristic customers consider when evaluating supermarkets. The 5-star rating suggests a positive experience with the store's large size.",Woodman's Food Market,Chain of full-service supermarkets (some with movie rentals & gas-station services).,['Grocery store']
Sammy's Mexican Grill and Bar,A bit pricy for standard Mexican food.,Valid,"The review provides a genuine opinion about the restaurant's pricing and food quality, which is directly relevant to the Mexican restaurant business. The 3-star rating is consistent with the mixed sentiment expressed in the text.",Sammy's Mexican Grill and Bar,,['Mexican restaurant']
Burger King,"Pretty much the worst Burger King i have been to. It's close to me so I've tried it more times than I should have. Can barely make their food items decently or correctly. One of the employees copped an attitude with me because she asked me to wait by the first window when I paid already but I didnt. After about 2 minutes I pulled up anyway to the second window and got my food. I asked the guy who gave me my food why I was asked to wait and he said ""we're trying to keep the timer low"". I could only imagine that's their turnaround timer. So because they can't perform to their standard or any kind of industry standard they have to ask their customers to participate in their little scams and tricks.",Valid,"The review describes a genuine experience at Burger King, detailing specific interactions with employees, food quality issues, and service problems. The 1-star rating is consistent with the negative experience described, and the content is directly relevant to the restaurant's service and operations.",Burger King,"Well-known fast-food chain serving grilled burgers, fries & shakes.","['Restaurant', 'Fast food restaurant']"
Domino's Pizza,"Not every place in the world is  Perfect, but when THIS specific Domino's location makes ANY  type of mistake ( Because mistakes happen and every body is human)   Simple communication with a manager and they make up for it beyond belief I've never had such wonderful customer service from any place and I'm not exaggerating
the customer service is beyond amazing
off the charts
A++++++++++++++++++++++
100% IN MY FAMILY'S STOMACHS!!!!!!!!!!!
Thank you Domino's for being amazing!",Valid,"The review describes a genuine customer experience at this specific Domino's location, praising their customer service and mistake resolution. The enthusiastic 5-star rating is consistent with the highly positive text about their experience with the pizza delivery service.",Domino's Pizza,Delivery/carryout chain offering a wide range of pizzas & a variety of other dishes & sides.,"['Pizza delivery', 'Delivery Restaurant', 'Takeout Restaurant', 'Pizza restaurant', 'Pizza Takeout']"
Wendy's,Great fresh food. Nice smiling faces. Very clean,Valid,"The review describes a genuine dining experience at Wendy's, mentioning food quality, staff friendliness, and cleanliness, which are all relevant to a fast-food restaurant. The 4-star rating is consistent with the positive feedback.",Wendy's,Fast-food burger chain serving sides such as chili & baked potatoes.,"['Fast food restaurant', 'Hamburger restaurant', 'Restaurant']"
Giordano's,First time going there and the manager was so attentive our baby was cold and the manager lowered the a/c . The pizza was great! And the service awesome!,Valid,"The review describes a genuine dining experience at Giordano's pizza restaurant, mentioning specific details about the manager's attentiveness, the pizza quality, and service. The 5-star rating is consistent with the positive experience described, and the content is directly relevant to the restaurant's pizza service.",Giordano's,"Known for deep-dish pizza, this casual chain serves other classic Italian food, plus beer & wine.","['Pizza delivery', 'Delivery service', 'Takeout Restaurant', 'Pizza restaurant']"
Applebee's Grill + Bar,I dont like the drinks,Valid,"The review expresses a genuine opinion about drinks at Applebee's, which is relevant to a bar & grill establishment. Despite being brief and having a low rating, it reflects a real experience with the beverage service.",Applebee's Grill + Bar,Full-service chain bar & grill providing hearty American eats in an informal setting.,"['Restaurant', 'American restaurant', 'Bar & grill', 'Diner', 'Family restaurant', 'Hamburger restaurant', 'Steak house', 'Traditional American restaurant']"
Carlyle Brewing Co.,Went for a beer. Had a great time surrounded by a good group of beer heads. Guaranteed a good beer and good time. Always a winner in my book. Enjoy,Valid,"The review describes a genuine experience at the brewery, mentioning beer and having a good time, which is directly relevant to the business category and description. The 5-star rating is consistent with the positive experience described.",Carlyle Brewing Co.,Warm local brewpub teaming an array of craft beers with simple pub grub in a brick-walled space.,['Brewery']
Short Stacks,"Love the decor, really good food and nice staff!",Valid,"The review describes a genuine dining experience at the breakfast restaurant, mentioning specific aspects like decor, food quality, and staff service. The 5-star rating is consistent with the positive feedback about the restaurant experience.",Short Stacks,,['Breakfast restaurant']
Dunkin',Good service,Valid,"The review provides a genuine assessment of the service quality at Dunkin', which is relevant to the coffee shop/restaurant experience. The 4-star rating is consistent with the positive 'Good service' comment.",Dunkin',,"['Coffee shop', 'Bagel shop', 'Bakery', 'Breakfast restaurant', 'Donut shop', 'Fast food restaurant', 'Takeout Restaurant']"
Flying J Travel Center,Good place,Valid,"The review provides a genuine, albeit brief, assessment of the travel center with a 3-star rating that matches the positive but moderate sentiment of 'Good place'. The comment is relevant to the business as a truck stop/travel center.",Flying J Travel Center,,"['Truck stop', 'Convenience store', 'Gas station']"
Monical's Pizza,Fast and efficient!,Valid,"The review provides a genuine assessment of the service quality at the pizza restaurant. 'Fast and efficient' is relevant feedback about the restaurant's service, and the 5-star rating is consistent with the positive comment.",Monical's Pizza,Casual Italian chain known for its thin-crust & deep-dish pizzas & salad dressing for dipping.,"['Pizza restaurant', 'Italian restaurant', 'Delivery Restaurant', 'Restaurant']"
Nelson Ridge Family Dental,"Really wonderful, fast but thorough appointments. Super clean. Air filters in every room. Touch less pre appointments and checkout. I felt VERY safe.",Valid,"The review describes a genuine experience at the dental office, mentioning specific aspects like appointment quality, cleanliness, air filters, and safety measures. The content is directly relevant to the dental services provided and the 5-star rating is consistent with the positive feedback.",Nelson Ridge Family Dental,,"['Dentist', 'Cosmetic dentist', 'Dental hygienist', 'Dental implants periodontist', 'Denture care center', 'Emergency dental service', 'Oral surgeon', 'Orthodontist', 'Pediatric dentist', 'Teeth whitening service']"
Dunkin',Great atmosphere. Great place 4 families!,Valid,"The review describes a genuine experience at Dunkin', mentioning the atmosphere and noting it's family-friendly. The content is relevant to the coffee shop/restaurant business and the 5-star rating is consistent with the positive feedback.",Dunkin',,"['Coffee shop', 'Bagel shop', 'Bakery', 'Breakfast restaurant', 'Donut shop', 'Fast food restaurant', 'Takeout Restaurant']"
United States Postal Service,Home all week. Just got a notice that I was not home yesterday to receive the package,Valid,"The review describes a specific experience with USPS package delivery service, which is directly relevant to the postal service's core function. The 1-star rating is consistent with the customer's frustration about receiving a 'not home' notice despite being home, representing a genuine service complaint.",United States Postal Service,,"['Post office', 'Logistics service', 'Money order service', 'Shipping and mailing service']"
Jonathon's,It's a good place to pick up an outfit for your man I got two outfits for my man and they fit him perfect,Valid,"The review describes a genuine shopping experience at a clothing store, mentioning purchasing men's outfits that fit well. The content is directly relevant to the business category (men's and women's clothing store) and the 4-star rating aligns with the positive experience described.",Jonathon's,,"[""Men's clothing store"", ""Women's clothing store""]"
AutoZone Auto Parts,"I just never have truly been a fan of autozone. I will say the stores here in Springfield,IL are very clean stores,  great employees that show nothing but respect and are very helpful with assisiting you in any want tha",Valid,"The review provides a genuine opinion about AutoZone stores, specifically mentioning the Springfield, IL locations. The reviewer shares their personal experience with store cleanliness, employee behavior, and helpfulness, which are all relevant aspects of an auto parts store visit. Despite being somewhat critical (2-star rating), it describes actual experiences at the location.",AutoZone Auto Parts,,"['Auto parts store', 'Car accessories store', 'Car battery store', 'Tool rental service']"
Liar’s Club,Best drinking establishment in Chicago,Valid,"The review describes a positive experience at a bar establishment, with the text directly relating to the business category 'Bar' and expressing a genuine opinion about the drinking establishment.",Liar’s Club,,['Bar']
Tommy's Place,"First Time Visitor

I think I'd go back just to order the wings because they were DELISH! Although, I ordered the BBQ sauce on the side and the cook put the sauce on it.

Because it was a group of us and we ordered various items to share, I must say that their nachos are made fresh, and this was the upside to it. The downside, I thought the ground beef was under seasoned, but I'd order it without meat next time.

Not sure what the regular crowd is like on a Friday, but the night I went it was pretty light, perhaps because of the threat of snow.

I was pleased with the DJ and his music selection which was a good mix of steppers songs, house music and a little trap.",Valid,"The review describes a genuine dining experience at Tommy's Place, mentioning specific food items (wings, nachos), service details, atmosphere, and entertainment (DJ music). The content is directly relevant to a sports bar/bar & grill, and the 4-star rating aligns with the mixed but generally positive feedback about the food and experience.",Tommy's Place,"Unfussy sports bar offering pub fare, a patio & entertainment such as video slots, pool & DJs.","['Bar', 'Bar & grill', 'Karaoke']"
Kennytheking Tobacco,"Huge humidor with and amazing selection. When I'm working in the area I always try to swing through. He always has some great deals going on if you're looking to restock the humidor at home too.

For me I like to stop in and peruse a bit before getting one or two sticks for my drive home. I have bought a few boxes from time to time as well. There are often some hard to find cigars stacked amongst the shelves.",Valid,"The review describes a genuine experience at a tobacco/cigar shop, mentioning specific details like the humidor, cigar selection, purchasing boxes, and finding hard-to-find cigars. The content is highly relevant to the business category and the 5-star rating aligns with the positive experience described.",Kennytheking Tobacco,,"['Cigar shop', 'Liquor store', 'Tobacco shop', 'Wine store']"
Arby's,Baskets,Irrelevant,"The review text 'Baskets' is a single word that does not relate to Arby's business description (roast beef sandwiches, fries & shakes), category (fast food restaurant), or typical dining experience. The text appears unrelated to the location despite the 5-star rating.",Arby's,,"['Fast food restaurant', 'American restaurant', 'Deli', 'Takeout Restaurant', 'Sandwich shop']"
Medieval Times Dinner & Tournament,"Food was delicious.  Simple, but well done.  I do wish they would give flatware, but they do give plenty of wipes.  Show was entertaining for the kids and the crowd around us was really cool.",Valid,"The review describes a genuine dining and entertainment experience at Medieval Times, mentioning specific details like the food quality, the no-utensil policy (which aligns with the medieval theme), and the show's entertainment value. The 5-star rating is consistent with the positive experience described.",Medieval Times Dinner & Tournament,"Jousting, horsemanship & falconry plus a 4-course, utensil-free meal served in a castle-like space.","['Dinner theater', 'Childrens theater', 'Event venue', 'Family restaurant', 'Performing arts theater', 'Tourist attraction']"
Clark Street Dog,"First time visiting, and the food was great! They have bar attached to the restaurant, nice idea, and it seemed like a a mice place to get a drink.",Valid,"The review describes a genuine dining experience at the location, mentioning the food quality and the bar attached to the restaurant. The 5-star rating is consistent with the positive experience described, and the content is directly relevant to this hot dog restaurant/bar establishment.",Clark Street Dog,"Chicago style-hot dog joint also serving burgers, cheese steaks, gyros & beers in a no-frills space.","['Hot dog restaurant', 'American restaurant', 'Bar & grill', 'Caterer', 'Fast food restaurant', 'Hamburger restaurant']"
Wingstop,Love their wings!,Valid,"The review expresses a genuine positive opinion about the wings at Wingstop, which directly relates to the business as a chicken wings restaurant. The 4-star rating is consistent with the positive sentiment.",Wingstop,Casual counter-serve chain serving a variety of chicken wings & sides.,['Chicken wings restaurant']
Allerton Park & Retreat Center,Very nice hiking trails. The mansion is perfect for corporate organizations,Valid,"The review describes genuine experiences with the location's amenities (hiking trails and mansion for corporate use), which directly relate to the business categories of Park, Conference center, and Tourist attraction. The 5-star rating is consistent with the positive feedback.",Allerton Park & Retreat Center,Estate grounds with a formal sculpture garden & large natural area with bike & hiking/skiing trails.,"['Park', 'Conference center', 'Tourist attraction', 'Wedding venue']"
Clutch bar Chicago,Place was rented and they changed on the event last minute. Leaving us stranded.,Valid,"The review describes a genuine experience with the venue's event rental service, which is relevant to the business as it operates as a lounge/event space. The 1-star rating is consistent with the negative experience described.",Clutch bar Chicago,"Hip, spacious haunt pairing New American fare with full bar, TV sports, DJs & dancing till late.","['American restaurant', 'Brunch restaurant', 'Caterer', 'Cocktail bar', 'Fine dining restaurant', 'Lounge', 'Lunch restaurant', 'Night club', 'Seafood restaurant', 'Vegetarian restaurant']"
Los Azares Mexican Grill,Delicious,Valid,"The review provides a positive assessment ('Delicious') that is directly relevant to the Mexican restaurant, and the 5-star rating is consistent with the positive sentiment expressed.",Los Azares Mexican Grill,,['Mexican restaurant']
Courtyard by Marriott Chicago Schaumburg/Woodfield Mall,Nice accommodations. Rooms were clean.,Valid,"The review describes a genuine hotel experience with specific mentions of accommodations and room cleanliness, which directly relates to the hotel business. The 5-star rating is consistent with the positive feedback.",Courtyard by Marriott Chicago Schaumburg/Woodfield Mall,"Modern hotel offering 6 meeting rooms & an indoor pool, plus free WiFi & an area shuttle.","['Hotel', 'Indoor lodging', 'Meeting planning service']"
Rickshaw Republic,Food was ok. We were asked to leave as soon we finished the meal so they could sit another group which was rude.,Valid,"The review describes a genuine dining experience at the Indonesian restaurant, mentioning both the food quality and service experience. The 2-star rating is consistent with the mixed feedback (food was ok but poor service), making this a legitimate review relevant to the location.",Rickshaw Republic,Indonesian street eats presented in a family-run venue with traditional masks & umbrellas. BYOB.,['Indonesian restaurant']
Dairy Queen Grill & Chill,Ok this visit.   Generally 5,Valid,"The review describes a genuine visit experience at the location with a rating that reflects the content. Despite being brief, the text 'Ok this visit. Generally 5' indicates the reviewer has actually been to the Dairy Queen and is sharing their experience, even though this particular visit was average (3 stars) while they generally rate it highly (5 stars).",Dairy Queen Grill & Chill,Soft-serve ice cream & signature shakes top the menu at this classic burger & fries fast-food chain.,"['Fast food restaurant', 'Ice cream shop']"
Golden Apple Grill & Breakfast House,Very average food,Valid,"The review provides a genuine assessment of the food quality at this American restaurant, with a 3-star rating that aligns with the 'very average' description. The review is relevant to the dining experience at the establishment.",Golden Apple Grill & Breakfast House,Decades-old 24-hour kid-friendly diner serving an all-day menu of breakfast & lunch dishes.,"['American restaurant', 'Delivery Restaurant']"
Middle West Pet Foods Inc,The best distributor in the industry. The in-stock rates are amazing. They have best customer service too! They are a family run business that knows how to help.Very easy to work with and get along with. If you are not doing business with Middle West then you are missing out.,Valid,"The review describes a genuine business experience with Middle West Pet Foods Inc, discussing their distribution services, customer service, and business practices. The content is directly relevant to the pet supply/animal feed business, and the 5-star rating aligns with the positive feedback about their services.",Middle West Pet Foods Inc,,"['Animal feed store', 'Pet supply store']"
Steak 'n Shake,A steak and shake meal,Valid,The review describes a dining experience at the restaurant with a 4-star rating. The text 'A steak and shake meal' is relevant to the business name 'Steak 'n Shake' and aligns with the restaurant's category as a hamburger/American restaurant that serves steakburgers.,Steak 'n Shake,Chain known for steakburgers & milkshakes offering a dinerlike space with retro flair.,"['Hamburger restaurant', 'American restaurant', 'Diner']"
Target,Clean and well organised .,Valid,"The review describes a genuine shopping experience at Target, commenting on the store's cleanliness and organization, which are relevant aspects of a department store. The 5-star rating is consistent with the positive feedback.",Target,"Retail chain offering home goods, clothing, electronics & more, plus exclusive designer collections.","['Department store', 'Baby store', 'Clothing store', 'Electronics store', 'Furniture store', 'Grocery store', 'Toy store']"
