business_name,text,predicted_label,prediction_reason,description,category
Crown Burgers,"I like Crown Burger, though I don't eat there often.
I thought their dinner salad was lackluster.",Valid,"The review describes a genuine dining experience at Crown Burgers, mentioning specific food items (dinner salad) and providing balanced feedback. The 4-star rating is consistent with the mixed but generally positive sentiment expressed in the text.","Local fast-food chain serving signature pastrami-topped burgers, gyros & other Greek eats.","['Hamburger restaurant', 'Fast food restaurant']"
The Centered Stone,Really nice fun experience. People here are very nice and knowledgeable about the salt. Very relaxing. They also sell all shapes and sizes of Himalayan salt here.,Valid,"The review describes a genuine experience at the wellness center, mentioning relaxing atmosphere, knowledgeable staff, and Himalayan salt products, which aligns well with the business categories (meditation center, wellness center). The 5-star rating is consistent with the positive experience described.",,"['Chiropractor', 'Event venue', 'Massage therapist', 'Meditation center', 'Wellness center']"
Borosyndicate Productions,"Awesome place! Super friendly staff, really nice selection, and really good prices.",Valid,"The review describes a genuine experience at the business, mentioning staff friendliness, product selection, and pricing, which are all relevant to a glass/tobacco shop. The 5-star rating is consistent with the positive feedback.",,"['Manufacturer', 'Glass blower', 'Glass manufacturer', 'Glass shop', 'Tobacco shop']"
KSM Music,I had an exquisite time.,Valid,"The review expresses a positive experience ('exquisite time') that is relevant to a musical instrument store, and the 5-star rating is consistent with the positive sentiment.",,['Musical instrument store']
Straws,Tons of choices for any sweet tooth.,Valid,"The review describes a genuine experience about the variety of sweet options available, which is directly relevant to the business categories (cookie shop, ice cream shop, pretzel store) that cater to sweet treats. The 5-star rating is consistent with the positive comment.",,"['Beverage distributor', 'Cookie shop', 'Ice cream shop', 'Pretzel store']"
Huntsville Square,Best place on esrth,Irrelevant,"The review text 'Best place on esrth' is extremely vague and does not relate to any aspect of a wedding/event/live music venue. The misspelling of 'earth' and lack of any specific experience or venue-related content, combined with the extreme 5-star rating, indicates low relevancy to the business.",,"['Wedding venue', 'Event venue', 'Live music venue']"
O'Reilly Auto Parts,"They told me they dont warranty a battery that I got from them as ""they don't carry that brand"". I got home and found the receipt that I had purchased 2 yrs prior. I'll be returning in the morning to speak with a manager",Valid,The review describes a genuine customer service experience at an auto parts store regarding a battery warranty issue. The content is directly relevant to the business (auto parts store) and describes a specific interaction with staff about a product purchase and warranty claim.,,"['Auto parts store', 'Auto body parts supplier', 'Car battery store', 'Car repair and maintenance', 'Car stereo store', 'Motorcycle parts store', 'Trailer supply store', 'Truck accessories store']"
Fredrico's Pizza,This is my absolute favorite pizza place!!! Can't say enough good about it!,Valid,The review expresses genuine enthusiasm about the pizza place with a 5-star rating that matches the positive sentiment. The content is directly relevant to the business (pizza restaurant) and describes a personal experience.,,['Pizza restaurant']
Temple Square,"(Translated by Google) The place is fine, but I think there are many people dying from there, to spend so much money on facades that it does not help anyone.

(Original)
El lugar está bien, pero creo que hay mucha gente muriendo dé habré, para gastar tanto dinero en fachadas que no le sirve a nadie.",Valid,"The review expresses a genuine opinion about Temple Square, criticizing the spending on facades while acknowledging the place itself is 'fine'. Despite being negative, it relates directly to the location and reflects the reviewer's personal viewpoint about the religious organization's priorities, which is relevant to this Mormon church-owned plaza.","Plaza owned by the Mormon church, with landscaped grounds, a visitors' center, walking tours & more.","['Religious organization', 'Museum', 'Religious destination', 'Tourist attraction']"
Dee's Automotive,"Great place to get your car fixed, and they look through your whole car to diagnose the problem you came in for,",Valid,"The review describes a genuine experience at an auto repair shop, mentioning specific services (car fixing and diagnostic process) that are directly relevant to the business category. The 5-star rating is consistent with the positive feedback about the service quality.",,['Auto repair shop']
FedEx Ship Center,"Worthless company, 3 ""failed"" deliveries, what a joke of a company, maybe take a note from usps or ups cause fedex is hardly a legit company anymore. Really appalling, and good luck getting someone on the phone who is actually interested in resolving the situation.",Valid,"The review describes a genuine negative experience with FedEx's shipping services, specifically mentioning failed deliveries and customer service issues. The content is directly relevant to the business category (shipping and mailing service) and the 1-star rating is consistent with the strongly negative feedback about their service quality.","Chain providing office & packaging supplies, plus a variety of services such as shipping & printing.","['Shipping and mailing service', 'Logistics service', 'Mailing service', 'Packaging supply store', 'Shipping company', 'Shipping service']"
South Davis Recreation Center,"Tried calling up their number but couldn't get an actual person. There was no button to press to get a person. Also on there website was, when I looked earlier this week, there were two different times for public swimming. Also they haven't updated their Facebook of their new public swimming times. Other than that, great customer service.",Valid,"The review describes a genuine experience attempting to contact the recreation center and provides specific feedback about communication issues, website inconsistencies, and outdated social media information. Despite some criticism, the reviewer acknowledges 'great customer service' and the content is directly relevant to the business operations and services.","Family fitness center offering swimming, ice-skating & weight training, plus classes & programs.","['Recreation center', 'Fitness center', 'Gym', 'Ice skating rink', 'Public swimming pool', 'Swimming pool']"
Arby's,Great food,Valid,"The review provides a genuine positive assessment of the food at Arby's, which is directly relevant to this fast-food restaurant. The 5-star rating is consistent with the positive comment 'Great food'.","Fast-food chain, known for its roast beef, serving up hot & cold sandwiches, fries & shakes.","['Fast food restaurant', 'American restaurant', 'Family restaurant', 'Sandwich shop']"
Arby's,Smelled strongly like smoke and not good food,Valid,"The review describes a genuine experience at the restaurant, commenting on the smell which is relevant to a dining establishment. The 3-star rating is consistent with the mixed/negative feedback about the food quality and atmosphere.","Fast-food chain, known for its roast beef, serving up hot & cold sandwiches, fries & shakes.","['Fast food restaurant', 'American restaurant', 'Family restaurant', 'Sandwich shop']"
Hogle Zoo,Super fun and the animals appear healthy and well taken care of.,Valid,"The review describes a genuine visit experience to the zoo, commenting on the fun factor and animal welfare, which directly relates to the zoo's services and mission. The 4-star rating is consistent with the positive feedback.","Modern, 42-acre zoo boasting hundreds of animals & tropical gardens, plus a train & carousel.","['Zoo', 'Animal park', 'Tourist attraction', 'Wildlife park']"
Rancherito's Mexican Food,Always good !,Valid,"The review expresses a positive opinion about the food quality at the Mexican restaurant, and the 4-star rating is consistent with the positive text 'Always good!'. The review is relevant to the business category and appears to be based on genuine experience.","Fast-food chain offering familiar Mexican fare, including breakfast options, around the clock.","['Mexican restaurant', 'Breakfast restaurant', 'Latin American restaurant', 'Taco restaurant']"
Harmons Grocery - Draper,I love Harmons.,Valid,"The review expresses a genuine positive sentiment about Harmons grocery store with a matching 5-star rating. While brief, the text is directly relevant to the business name and category (grocery store).",,"['Grocery store', 'Bakery', 'Butcher shop', 'Deli', 'Gas station', 'Pharmacy', 'Post office', 'Produce market']"
Siegfried's Delicatessen,"This is my favorite restaurant. Very good meats and sandwiches and sides. Many of the staff and the old owners are German, so you know the food is authentic. Great food.",Valid,"The review describes a genuine dining experience at the German deli, mentioning specific aspects like meats, sandwiches, staff authenticity, and food quality. The 5-star rating is consistent with the positive text, and the content is highly relevant to the business description and category.","Busy, kitschy deli & marketplace presenting traditional German specialties & imported groceries.","['German restaurant', 'Deli', 'Restaurant']"
Purify Wellness Center,"We booked our adult family of 6 for the salt cave. The staff were friendly and helpful and the cave was amazing. We were disappointed with how packed the cave felt. We couldn’t even sit together. There were a couple women laughing and talking loudly even though the sign asked you not to. We loved the benefits of the cave, but feel like the experience could definitely be improved by having fewer people in there at a time. They said you should be able to taste salt on your lips at the end, but we were furthest away from their sort of wall salt diffuser and wonder if being closer provides more benefit? Maybe even a staff member leading a guided meditation to start everyone off on the right foot and set a healing, relaxing tone.",Valid,"The review describes a genuine experience at the wellness center, specifically about using their salt cave service. The reviewer provides detailed feedback about their visit, mentions staff interactions, facility conditions, and suggests improvements. The 4-star rating is consistent with the mixed but overall positive experience described.",,"['Yoga studio', 'Alternative medicine practitioner', 'Massage spa']"
The Original Pancake House,Soooo good. Everytime I have been! They don't joke around and make great breakfast ANYTHING. Expect some wait time for a table & delicious food (takes time to make original masterpieces,Valid,"The review describes a genuine dining experience at the pancake house, mentioning specific details like wait times, breakfast food quality, and multiple visits. The 5-star rating is consistent with the positive text about the food and service.",Signature pancakes & other American breakfast classics all day in a casual setting.,"['Breakfast restaurant', 'Pancake restaurant']"
Stanza Italian Bistro & Wine Bar,"Amazing, fresh food with an Italian flare. Plenty filling, but not too heavy",Valid,"The review describes a genuine dining experience at an Italian restaurant, with specific comments about the food quality ('fresh food with Italian flare') and portion size that are directly relevant to the business category and description. The 5-star rating is consistent with the positive feedback.",Classy multilevel restaurant presenting elevated Italian cuisine & a sophisticated wine list.,"['Italian restaurant', 'Wine bar']"
The Home Depot,"It's a great place for anything you need about home improvement or for contractor needs! If I could change anything about customer service, it would be that the employees would ask customers ""Is there anything I can help you find""? It's really difficult trying to find someone to help you there! Everytime I've needed help finding anything, I had to search the store for someone to help me. Other than that, I give the store very high praise for having a great inventory of much needed products!",Valid,"The review provides a genuine and detailed experience about shopping at The Home Depot, discussing both positive aspects (great inventory, home improvement products) and constructive criticism (customer service availability). The content is directly relevant to the business category as a home improvement store, and the 5-star rating aligns with the overall positive sentiment despite minor concerns.","Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).","['Home improvement store', 'Appliance store', 'Bathroom supply store', 'Cabinet store', 'Hardware store', 'Lighting store', 'Paint store', 'Rug store', 'Tool store', 'Window treatment store']"
Bear Canyon Suspension Bridge Trailhead,Ok hike,Valid,The review describes a genuine hiking experience with 'Ok hike' which directly relates to the hiking area category and trail location. The 4-star rating is consistent with an average/decent experience.,,"['Hiking area', 'Tourist attraction']"
Mo' Bettahs,Very delish. Large portions,Valid,"The review describes a genuine dining experience with positive comments about the food quality ('Very delish') and portion size ('Large portions'), which are directly relevant to the Hawaiian restaurant. The 5-star rating is consistent with the positive feedback.",,"['Hawaiian restaurant', 'Restaurant']"
Apollo Burger,The employees are very rude and racist. If your not Mexican or speak Spanish they talk down to you like your such a problem and less than them. The shift manager Martha is rude unprofessional and lies about what she tells people. I watched the guy working the grill take out trash then start cooking food with the same gloves he just took the garbage out with!!! When I said something about it is when the cruel rude ignorant attitude started. Martha refused to give me my money back. Don't eat here if you want people who are clean with we sanitary practices. You chance getting very sick if you eat here.,Valid,"This is a detailed review describing a specific negative experience at the restaurant, including interactions with staff (Martha the shift manager), observations of food safety practices, and service quality. Despite the 1-star rating and strong negative sentiment, the reviewer clearly visited the location and provides specific details about their experience, making it a valid review.",,['American restaurant']
The Home Depot,Great place for home projects and hardy plants all year long.,Valid,"The review describes a genuine experience at The Home Depot, mentioning home projects and plants which are relevant to a home improvement store. The 5-star rating is consistent with the positive sentiment expressed in the text.","Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).","['Home improvement store', 'Appliance store', 'Bathroom supply store', 'Cabinet store', 'Hardware store', 'Lighting store', 'Paint store', 'Rug store', 'Tool store', 'Window treatment store']"
Granger Medical Wasatch,Had to wait 30 mins to see the doc. My time is as valuable as theirs,Valid,"The review describes a genuine experience at the medical clinic, mentioning a specific wait time and expressing frustration about it. The content is directly relevant to the medical facility and represents a typical patient experience concern.",,"['Medical clinic', 'Dermatologist', 'Family practice physician', 'Internist', 'Pain control clinic', 'Urgent care center']"
Beaver Nursery,Our family goes to this awesome Nursery every year. Great place.,Valid,"The review describes a genuine experience visiting a nursery, which is directly relevant to the business category 'Garden center, Plant nursery'. The 5-star rating is consistent with the positive language used.",,"['Garden center', 'Plant nursery']"
"Primary Residential Mortgage, Inc.",Judy Naccarato is so amazing! She makes the whole process easier with her knowledge and kindness!,Valid,"The review describes a genuine experience with a specific employee (Judy Naccarato) at the mortgage lending business, praising her knowledge and kindness in the mortgage process. The 5-star rating is consistent with the positive feedback about the service received.",,['Mortgage lender']
Panguitch Lake Resort,Place is really the place is really awesome and comfortable for people to stay the only thing I wish on the breakfast menus you serve breakfast like hash browns and biscuits and gravy the egg omelettes or excellent,Valid,"The review describes a genuine stay experience at the resort, mentioning comfort, breakfast menu items, and specific food feedback (omelettes). The 4-star rating is consistent with the mostly positive review that includes constructive suggestions for improvement.",,"['Campground', 'Resort hotel']"
Chuck-A-Rama Buffet,I love that they have a theme for each night of the week. The food is exceptional.,Valid,"The review describes a genuine dining experience at the buffet restaurant, mentioning specific aspects like themed nights and food quality. The 5-star rating is consistent with the positive feedback about the food being 'exceptional'.","Regional chain known for its comfort-food buffet, global daily specials & free nonalcoholic drinks.","['Buffet restaurant', 'American restaurant']"
Layton Hills Chrysler Dodge Ram,I went to have my car serviced. It went very well.,Valid,"The review describes a genuine car service experience at an auto dealership/repair shop, and the 5-star rating is consistent with the positive feedback about the service going well.",,"['Ram dealer', 'Auto repair shop', 'Car dealer', 'Chrysler dealer', 'Dodge dealer', 'Truck dealer', 'Used car dealer']"
Hertz Used Car Sales Layton Utah,Limited selection of vehicle makes.  Pretty fair pricing.,Valid,"The review provides a genuine assessment of the used car dealership, commenting on vehicle selection and pricing which are directly relevant to the business category and services offered.",,"['Used car dealer', 'Auto broker', 'Car dealer', 'Used truck dealer']"
Taqueria 27 Lehi,Great food and a pleasant casual atmosphere. Attentive wait staff.,Valid,"The review describes a genuine dining experience at the taco restaurant, mentioning specific aspects like food quality, atmosphere, and service. The 5-star rating is consistent with the positive feedback about the restaurant.",,['Taco restaurant']
Little Taste of Britain,Fun experience but the price will keep me from coming back,Valid,"The review describes a genuine dining experience at the British restaurant, mentioning both the experience quality ('Fun experience') and pricing concerns, which are relevant to the restaurant's service and offerings.","Fish 'n' chips, meat pies & other British fare, including desserts, offered in a laid-back setting.","['British restaurant', 'Fast food restaurant', 'Restaurant']"
Funk 'n Dive Bar,Great service and atmosphere.,Valid,"The review provides a genuine assessment of the bar's service and atmosphere, which directly relates to the business categories (Bar & grill, Live music venue, Restaurant). The 5-star rating is consistent with the positive feedback.",,"['Bar & grill', 'Live music venue', 'Restaurant', 'Vegan restaurant']"
Pig & a Jelly Jar Ogden,I love all locations!! The food is incredible! The mix of flavors in the Ham Hash is one of my favorites!,Valid,The review describes a genuine dining experience with specific food details (Ham Hash) and positive sentiment that aligns with the 5-star rating. The content is directly relevant to the restaurant's Southern comfort food concept.,"Southern comfort eats with a modern twist are the draw this open, airy eatery with a funky ambiance.","['Brunch restaurant', 'Southern restaurant (US)']"
Pig & a Jelly Jar SLC,Today I ordered a chicken and biscuits and what I got I was very disappointed With my chicken it tasted overdone and flavorless like they didn’t season it at and just battered and fried it potatoes didn’t have no flavor I would like to hope it’s better the next time,Valid,"The review describes a genuine dining experience at the restaurant, with specific details about the chicken and biscuits meal, seasoning issues, and food quality. The 1-star rating is consistent with the negative feedback about the food experience.",Funky fixture preparing a locally sourced menu of American comfort foods with a contemporary twist.,"['Brunch restaurant', 'Southern restaurant (US)']"
Pep Boys,"Decent prices, and Jerry has some of the best customer services around, my insurance company stopped off my car and he kept me in the loop for every step.",Valid,"The review describes a genuine experience at the auto service location, mentioning specific details like decent prices, a staff member named Jerry providing good customer service, and interaction with insurance regarding the reviewer's car. The content is highly relevant to the business category (auto repair shop) and the 5-star rating is consistent with the positive experience described.",,"['Tire shop', 'Auto repair shop', 'Oil change service', 'Towing service', 'Transmission shop']"
"THE CHOCOLATE, a dessert cafe","The atmosphere is so welcoming! I absolutely love this place. And let's not forget the A1 strawberry shortcakes, so delicious!",Valid,"The review describes a genuine experience at the dessert cafe, mentioning the welcoming atmosphere and specifically praising the strawberry shortcakes, which is relevant to a cafe/bakery/dessert shop. The 5-star rating is consistent with the positive feedback.",,"['Cafe', 'Bakery', 'Dessert shop', 'Wedding bakery']"
Rocky Mountain Movers - Salt Lake City,"Awful Company they definitely care about your money in their pocket and nothing else.  They have reckless drivers that don't pay attention and park in a red zone in front of a Fire Hydrant. They broke a grate in road and because we did not have a picture of them parking in the red zone they would not fix it. I can only imagine that if they BROKE your COUCH, OR CHINA OR ANY OTHER item while moving they would want a picture of the item in the employee's hands for proof. Even then they proably will not replace or fix the item.

IF YOU WANT BROKEN STUFF ROCKY MOUNTAIN MOVERS ARE YOUR NEXT MOVING COMPANY.
Good luck if you go with them, you will need it.",Valid,"The review describes a specific negative experience with the moving company, including details about reckless drivers, parking violations, property damage, and poor customer service. Despite the strong negative sentiment and 1-star rating, the content is directly relevant to the moving services provided by the business and appears to be based on an actual experience with the company.",,"['Mover', 'Moving and storage service', 'Moving supply store', 'Piano moving service']"
All Repair Auto Care LLC,"I took my car in & found out my clutch went out. I didn't have the $800 to $900 for the repairs, so I just went home. Ernie called me and said he could do the repair for $250 if I brought my own part. I bought the part, they replaced the clutch. They let me know the repair wasn't under warranty, but Ernie said to let him know if there were any issues.My clutch starts vibrating, which means they didn't align the flywheel and clutch properly. I called to let them know something was wrong. Alex said if they had to get into the car at all, I'd have to pay again. Yay, I get to pay out the ass again for something that wasn't done right in the first place. I guess it is my fault for not paying the $300 more to get the part through them... Oh wait, I don't have any money.

UPDATE:
Well, it's been less than six months since I got the clutch replaced. Thanks to their shoddy work, I now have to spend $1400 to replace my entire transmission and clutch. The repair place I went to asked who changed my clutch, because it is the reason my transmission was shot. Thanks for nothing!",Valid,"This is a detailed review describing a genuine experience at an auto repair shop. The reviewer provides specific details about clutch repair, pricing, interactions with staff members (Ernie and Alex), and follow-up issues with the work performed. Despite the negative 1-star rating, the content is clearly relevant to the auto repair business and describes actual services received.",,"['Auto repair shop', 'Car repair and maintenance', 'Truck repair shop']"
Cakes By Edith,"Great quality cake, looked really nice, tasted ok- not great not bad . But looked great",Valid,"The review describes a genuine experience with cake quality, appearance, and taste at a bakery, which is directly relevant to the business category and services offered.",,['Bakery']
RC Willey,"RC Willey customer service was fantastic. We purchased a washing machine through them, because there wasn’t a delay in picking up the product. The same washing machine from Home Depot was 14 days away from being available for pick up. RC Willey had a pick up for the same day.

Once we got the washing machine home and it didn’t work and we didn’t like the model. The return process was super easy! They even took my old washing machine off my hands for free. That was much easier than taking it to the dump. Thanks for you great service, RC Willey and Todd Bartholomew (knowledgeable and honest salesman!)",Valid,"The review describes a genuine customer experience purchasing a washing machine from RC Willey, detailing the purchase process, return experience, and praising specific staff member Todd Bartholomew. The content is directly relevant to the appliance store's business and the 5-star rating aligns with the positive experience described.","Home & outdoor furniture chain also offering mattresses, electronics, appliances & flooring.","['Furniture store', 'Appliance store', 'Electronics store', 'Flooring store', 'Mattress store']"
Shalan’s,"Great drinks, delicious sandwiches, cute woman working here and a fun oldschool atmosphere, what more could you want? Definitely a great eatery in this small town, if they had more parking, I'd hold events here. Try the turkey sandwiches and the drinks they have to offer! You won't regret it!",Valid,"The review describes a genuine dining experience at the restaurant, mentioning specific aspects like drinks, sandwiches, atmosphere, and service. The 5-star rating is consistent with the positive feedback about food quality and ambiance.",,['American restaurant']
"Wiseguys Comedy Club, Jordan Landing","Good food, nice employees, good selection comedians. Will return",Valid,"The review describes a genuine experience at the comedy club, mentioning relevant aspects like food quality, staff, and comedians, which align with the business description and categories. The 5-star rating is consistent with the positive feedback.","Entertainment venue featuring local & nationally renowned comedians, plus casual grill fare & a bar.","['Comedy club', 'Bar', 'Entertainer', 'Restaurant']"
The Melting Pot,"Fun experience, you'd expect a little better interior for the price you pay",Valid,"The review describes a genuine dining experience at the fondue restaurant, mentioning both the fun experience and interior quality relative to pricing, which is relevant to the business.","Fondue restaurant chain offering heated pots of cheese, chocolate or broth for dipping & cooking.","['Fondue restaurant', 'Fine dining restaurant']"
McDonald's,Crazy busy but still not to long of a wait,Valid,"The review describes a genuine experience at McDonald's, commenting on the wait time despite being busy, which is relevant to the fast-food restaurant experience. The 5-star rating aligns with the positive sentiment about reasonable wait times.","Classic, long-running fast-food chain known for its burgers, fries & shakes.",['Fast food restaurant']
BYU Creamery on Ninth,"Great place, no complaints.",Valid,"The review expresses a positive experience with a 5-star rating that matches the positive sentiment. While brief, the text 'Great place, no complaints' is relevant to the ice cream shop/grocery store business and represents a genuine customer experience.",,"['Grocery store', 'Ice cream shop']"
Siragusa's Taste of Italy,Wow! This place was reccomended to us by a relative. At first glance the location almost looks closed in the little strip mall. But don't let that fool you. This was hands down some of the best Italian my wife and I have had (and she's traveled to Italy). The cheese bread was divine as was the entrees we ordered. Their pesto and marinara is to die for. Noodles cooked perfectly. The veal was a tad overcooked but still tasted great! The cannoli blew us out of the water! Definitely order dessert. This meal was worth every penny!! We will definitely be back and taking our friends with us!,Valid,"The review describes a genuine dining experience at an Italian restaurant, with detailed commentary about specific dishes (cheese bread, pesto, marinara, veal, cannoli) that align perfectly with the business category and description. The 5-star rating is consistent with the overwhelmingly positive experience described.","Homestyle Italian outpost serving up pasta, pizza & gluten-free dishes in straightforward environs.","['Italian restaurant', 'Caterer', 'Pizza restaurant', 'Restaurant']"
Matrix Signs,"I have used Matrix Signs for both business and personal projects. They always beat  the competition on price, quality and turn around time.",Valid,"The review describes a genuine experience using Matrix Signs for business and personal projects, providing specific feedback on price, quality, and turnaround time. The content is directly relevant to the sign shop business and the 5-star rating aligns with the positive experience described.",,"['Sign shop', 'Banner store', 'Invitation printing service']"
River Bottoms Ranch,"River bottoms ranch is such a dreamy place. The pictures do not do it any justice. Being surrounded by the mountains, peace, and the river running next to it was so beautiful! Our wedding was more than I could have ever imagined and the staff was so wonderful! Would highly recommend this beautiful place to anyone considering a wedding venue!",Valid,"The review describes a genuine wedding experience at the venue, with specific details about the location (mountains, river), the event (wedding), and staff service. The 5-star rating is consistent with the highly positive feedback about the venue's beauty and service quality.",,['Event venue']
Macy's,Nice collection,Valid,"The review 'Nice collection' directly relates to Macy's as a department store that sells clothing, accessories, and other merchandise. The 4-star rating is consistent with the positive comment about their product collection.","Department store chain providing brand-name clothing, accessories, home furnishings & housewares.","['Department store', 'Beauty supply store', ""Children's clothing store"", 'Jewelry store', 'Lingerie store', ""Men's clothing store"", 'Shoe store', ""Women's clothing store""]"
Mesa Arch,Beautiful scenery and great lookout,Valid,"The review describes a genuine experience at Mesa Arch, with the text 'Beautiful scenery and great lookout' being directly relevant to this hiking area and tourist attraction known for its scenic views. The 5-star rating is consistent with the positive sentiment.",Cliff's-edge sandstone arch framing an iconic sunrise view of the red rock canyon landscape below.,"['Hiking area', 'Tourist attraction']"
Starvation State Park,Loved it!!!!,Valid,"The review expresses genuine positive sentiment about the state park with a 5-star rating that matches the enthusiastic text. While brief, the comment is relevant to the location and represents a legitimate visitor experience.","State park with campsites & a large reservoir for recreation such as fishing, boating & windsurfing.","['State park', 'Park', 'Tourist attraction']"
Fruita Schoolhouse,"(Translated by Google) Nice photos to take, a pity not to be able to access it from the inside, photos possible from the outside but limited angles.

(Original)
Belles photos à faire, dommage de ne pouvoir y accéder de l' intérieur, photos possibles de l' extérieur mais angles limités.",Valid,"The review provides a genuine assessment of visiting the Fruita Schoolhouse tourist attraction, discussing photo opportunities and access limitations. The content is directly relevant to the location and describes an actual visit experience, with a 4-star rating that aligns with the mixed feedback (positive about photo opportunities, negative about limited access).",,['Tourist attraction']
Costa Vida,Horrible place to eat.,Valid,"The review expresses a genuine negative opinion about the dining experience at Costa Vida, a Mexican restaurant. While brief, the comment 'Horrible place to eat' is directly relevant to the restaurant's food service, and the 1-star rating is consistent with the negative sentiment expressed.",Laid-back counter-serve Mexican chain with Baja-style tacos & burritos plus gluten-free options.,"['Takeout Restaurant', 'Mexican restaurant']"
Fremont Park,Stay away!!!,Irrelevant,"The review is extremely short with only a vague warning 'Stay away!!!' paired with a 1-star rating. The text provides no specific details about the park experience, facilities, or any park-related aspects, making it irrelevant to the location despite the extreme negative rating.",,['Park']
Noodles and Company,Best pasta in all the land!,Valid,"The review describes a positive experience with pasta at a restaurant that specializes in noodle and pasta dishes, and the 5-star rating is consistent with the enthusiastic praise.",Counter-serve chain offering international noodle & pasta dishes from mac 'n' cheese to pad Thai.,"['Restaurant', 'Down home cooking restaurant', 'Takeout restaurant', 'Pasta shop', 'Salad shop', 'Soup restaurant']"
Maverik,"Maverick is the only gas station/convenient store i use, not only in Salt lake but at home also. The fuel is priced very well and the goods inside are as well. This location however is over run with transients and dope heads. My wife is a pretty tough gal and feels unsafe being near anywhere here.",Valid,"The review provides a genuine experience about this specific Maverik location. The reviewer discusses both positive aspects (fuel pricing, general brand loyalty) and specific concerns about safety at this particular location due to transients. The 1-star rating aligns with the safety concerns expressed, and the content is directly relevant to the gas station/convenience store business.","Gas-station & convenience-store chain, serving drinks & snacks from burritos to frozen yogurt.","['Convenience store', 'Gas station']"
